COD. UF;UF;populacao_2010;populacao_2022;crescimento
35;SP;41262199;44411238;3149039
42;SC;6248436;7610361;1361925
52;GO;6001789;7056495;1054706
41;PR;10444526;11444380;999854
31;MG;19597330;20539989;942659
51;MT;3035122;3658649;623527
15;PA;7581051;8120131;539080
13;AM;3483985;3941613;457628
23;CE;8451644;8794957;343313
32;ES;3514952;3833712;318760
50;MS;2449024;2757013;307989
26;PE;8796055;9058931;262876
53;DF;2572159;2817381;245222
25;PB;3766528;3974687;208159
21;MA;6574789;6776699;201910
43;RS;10693929;10882965;189036
14;RR;450479;636707;186228
22;PI;3119097;3271199;152102
28;SE;2067852;2210004;142152
24;RN;3168027;3302729;134702
17;TO;1383445;1511460;128015
29;BA;14017071;14141626;124555
12;AC;733559;830018;96459
33;RJ;15989929;16055174;65245
16;AP;669526;733759;64233
11;RO;1562409;1581196;18787
27;AL;3120887;3127683;6796
